大区,服务器,serverid,最低价(元),等级,简介,卖家,商品链接,eid
天下无双,逍遥三界,785,49.88,140,成长:1.275 1技能,******,https://xyq.cbg.163.com/equip?s=785&eid=202606211100113-785-O9EZNCN77JXU,202606211100113-785-O9EZNCN77JXU
追忆,梦回望月,150,49.89,133,成长:1.262,*****,https://xyq.cbg.163.com/equip?s=150&eid=202606202300113-150-2TIUUTSCFVCA,202606202300113-150-2TIUUTSCFVCA
北京1区,太和殿,155,49.95,0,成长:1.275,******,https://xyq.cbg.163.com/equip?s=155&eid=202606211200113-155-LVDIAYQ0FQJU,202606211200113-155-LVDIAYQ0FQJU
河北1区,月亮湖,931,49.99,130,成长:1.275 2技能,****,https://xyq.cbg.163.com/equip?s=931&eid=202606210000113-931-P65DB6XWLDYX,202606210000113-931-P65DB6XWLDYX
河北1区,缘聚唐城,60,50.00,0,成长:1.25,**********,https://xyq.cbg.163.com/equip?s=60&eid=202606192200113-60-UFIWDLVDLOL3B,202606192200113-60-UFIWDLVDLOL3B
湖南区,洞庭湖,96,50.00,0,成长:1.225 1技能,*******,https://xyq.cbg.163.com/equip?s=96&eid=202606201100113-96-72YHTQD0Y5OMJ,202606201100113-96-72YHTQD0Y5OMJ
福建2区,齐云楼,326,50.75,0,成长:1.237,****,https://xyq.cbg.163.com/equip?s=326&eid=202606210800113-326-CUL8PBY1T3YP,202606210800113-326-CUL8PBY1T3YP
天下无双,金戈铁马,730,50.96,30,成长:1.225 1技能,******,https://xyq.cbg.163.com/equip?s=730&eid=202606221000113-730-MMI3BMCYXFDG,202606221000113-730-MMI3BMCYXFDG
北京2区,顺天府,821,50.99,127,成长:1.237 3技能,******,https://xyq.cbg.163.com/equip?s=821&eid=202606210000113-821-1IDN9GNIRF6G,202606210000113-821-1IDN9GNIRF6G
福建2区,百花村,11,51.00,30,成长:1.275 2技能,*****,https://xyq.cbg.163.com/equip?s=11&eid=202606220100113-11-OQVAVYQFR3Q0S,202606220100113-11-OQVAVYQFR3Q0S
四川1区,成都府,40,51.00,134,成长:1.237 1技能,川总！归墟来,https://xyq.cbg.163.com/equip?s=40&eid=202606131300113-40-9XJQHO3GVLBK3,202606131300113-40-9XJQHO3GVLBK3
广西1区,云天宫,86,51.00,0,成长:1.225,******,https://xyq.cbg.163.com/equip?s=86&eid=202606202200113-86-9LRBGB9MP3HDS,202606202200113-86-9LRBGB9MP3HDS
江苏1区,文昌阁,101,51.00,0,成长:1.237,***,https://xyq.cbg.163.com/equip?s=101&eid=202606181500113-101-YJXMBI4UKDNX,202606181500113-101-YJXMBI4UKDNX
浙江1区,台州湾,133,51.00,0,成长:1.25,****,https://xyq.cbg.163.com/equip?s=133&eid=202606220200113-133-LEZ5TNDAHICR,202606220200113-133-LEZ5TNDAHICR
河南2区,牡丹亭,192,51.00,135,成长:1.237 2技能,******,https://xyq.cbg.163.com/equip?s=192&eid=202606211800113-192-EBVYS1DVLMEK,202606211800113-192-EBVYS1DVLMEK
山东1区,东岳泰山,211,51.00,0,成长:1.275,****,https://xyq.cbg.163.com/equip?s=211&eid=202606202100113-211-ODYJ95DVER4G,202606202100113-211-ODYJ95DVER4G
无与伦比,千里之外,579,51.00,128,成长:1.225 2技能,****,https://xyq.cbg.163.com/equip?s=579&eid=202606212300113-579-FFEHG5WNWPIZ,202606212300113-579-FFEHG5WNWPIZ
山东5区,威海卫,657,51.00,125,成长:1.225 1技能,******,https://xyq.cbg.163.com/equip?s=657&eid=202606210900113-657-6WB754AUXMLT,202606210900113-657-6WB754AUXMLT
山东1区,青岛栈桥,669,51.00,30,成长:1.262 2技能,******,https://xyq.cbg.163.com/equip?s=669&eid=202606210700113-669-B1AQULYIEVOW,202606210700113-669-B1AQULYIEVOW
名扬三界,恭喜发财,911,51.55,129,成长:1.25 2技能,******,https://xyq.cbg.163.com/equip?s=911&eid=202606212100113-911-TIE9EW04DG1E,202606212100113-911-TIE9EW04DG1E
深圳1区,大观园,116,51.80,135,成长:1.225,***,https://xyq.cbg.163.com/equip?s=116&eid=202606190800113-116-GTEPCG8SZS22,202606190800113-116-GTEPCG8SZS22
深圳2区,小梅沙,344,51.89,139,成长:1.25 1技能,****,https://xyq.cbg.163.com/equip?s=344&eid=202606220400113-344-KBB7U2OILCQX,202606220400113-344-KBB7U2OILCQX
上海2区,东方明珠,38,51.99,0,成长:1.25,****,https://xyq.cbg.163.com/equip?s=38&eid=202606211100113-38-HMYVLTHALZAGO,202606211100113-38-HMYVLTHALZAGO
广东2区,万绿湖,78,52.00,128,成长:1.262 2技能,******,https://xyq.cbg.163.com/equip?s=78&eid=202606211800113-78-WGO9Z35OPU7FE,202606211800113-78-WGO9Z35OPU7FE
黑龙江区,雪域天龙,221,52.00,141,成长:1.225,*****,https://xyq.cbg.163.com/equip?s=221&eid=202606202000113-221-O899EMQA2Y0U,202606202000113-221-O899EMQA2Y0U
安徽1区,慈光阁,266,52.00,0,成长:1.225,******,https://xyq.cbg.163.com/equip?s=266&eid=202606191400113-266-SSFDIJFROGPM,202606191400113-266-SSFDIJFROGPM
无与伦比,本草纲目,559,52.00,0,成长:1.275,******,https://xyq.cbg.163.com/equip?s=559&eid=202606201000113-559-1UDOLXBM6USO,202606201000113-559-1UDOLXBM6USO
北京1区,江山如画,851,52.00,0,成长:1.275,******,https://xyq.cbg.163.com/equip?s=851&eid=202606211200113-851-SOYBJPXULBP9,202606211200113-851-SOYBJPXULBP9
云南区,彩云之南,127,52.80,125,成长:1.225,****,https://xyq.cbg.163.com/equip?s=127&eid=202606220100113-127-GQLYLVZVCZZ2,202606220100113-127-GQLYLVZVCZZ2
上海1区,苏州河,878,52.80,141,成长:1.237,******,https://xyq.cbg.163.com/equip?s=878&eid=202606201800113-878-WZ8RZHBXYMIQ,202606201800113-878-WZ8RZHBXYMIQ
山东1区,东海崂山,681,52.90,132,成长:1.262 3技能,*****,https://xyq.cbg.163.com/equip?s=681&eid=202606220800113-681-OIPIHJTOXLRT,202606220800113-681-OIPIHJTOXLRT
广西2区,叠彩山,6,53.00,139,成长:1.25,******,https://xyq.cbg.163.com/equip?s=6&eid=202606212100113-6-HZITWECIFQVYC2,202606212100113-6-HZITWECIFQVYC2
贵州区,红枫湖,285,53.00,0,成长:1.262,*****,https://xyq.cbg.163.com/equip?s=285&eid=202606210200113-285-4NNIYNUOYDPT,202606210200113-285-4NNIYNUOYDPT
江苏2区,姑苏城,352,53.00,137,成长:1.262,*****,https://xyq.cbg.163.com/equip?s=352&eid=202606201800113-352-V3Z43Q6YJUQA,202606201800113-352-V3Z43Q6YJUQA
无与伦比,青花瓷,558,53.00,128,成长:1.225,****,https://xyq.cbg.163.com/equip?s=558&eid=202606211900113-558-E25TQW6Y2MJA,202606211900113-558-E25TQW6Y2MJA
天下无双,诗情画意,791,53.00,142,成长:1.237,******,https://xyq.cbg.163.com/equip?s=791&eid=202606212200113-791-1X92Y6KIA1RL,202606212200113-791-1X92Y6KIA1RL
笑傲三界,花好月圆,807,53.00,141,成长:1.275 2技能,******,https://xyq.cbg.163.com/equip?s=807&eid=202606200300113-807-W1TNIPJB0HN0,202606200300113-807-W1TNIPJB0HN0
江苏1区,寒山寺,930,53.00,0,成长:1.262,******,https://xyq.cbg.163.com/equip?s=930&eid=202606221000113-930-9EUUQSYHQGQ8,202606221000113-930-9EUUQSYHQGQ8
良辰美景,玉兔呈祥,952,53.00,143,成长:1.237 1技能,*****,https://xyq.cbg.163.com/equip?s=952&eid=202606201400113-952-UMCRLKWH5H3J,202606201400113-952-UMCRLKWH5H3J
北京1区,恭王府,769,53.88,0,成长:1.237,*****,https://xyq.cbg.163.com/equip?s=769&eid=202606220200113-769-CZNHE1MBIPTW,202606220200113-769-CZNHE1MBIPTW
山东5区,曲阜孔庙,407,53.99,128,成长:1.262 1技能,*****,https://xyq.cbg.163.com/equip?s=407&eid=202606201800113-407-CMOPDJA6XCAV,202606201800113-407-CMOPDJA6XCAV
重庆区,解放碑,146,54.00,0,成长:1.225,*****,https://xyq.cbg.163.com/equip?s=146&eid=202606182000113-146-LI0ONTNQ3KJ6,202606182000113-146-LI0ONTNQ3KJ6
湖北2区,黄鹤楼,223,54.00,139,成长:1.237 1技能,*****,https://xyq.cbg.163.com/equip?s=223&eid=202606202300113-223-VKS3YVIWOYV5,202606202300113-223-VKS3YVIWOYV5
福建2区,鼓浪屿,234,54.00,0,成长:1.275 1技能,*******,https://xyq.cbg.163.com/equip?s=234&eid=202606212300113-234-I9SNUSNPS9LK,202606212300113-234-I9SNUSNPS9LK
广东1区,二沙岛,942,54.00,133,成长:1.275 1技能,**********,https://xyq.cbg.163.com/equip?s=942&eid=202606211100113-942-RNBEBT8W0W66,202606211100113-942-RNBEBT8W0W66
无与伦比,梦幻西游,976,54.00,136,成长:1.237,****,https://xyq.cbg.163.com/equip?s=976&eid=202606212300113-976-NVL0F1OTIBOG,202606212300113-976-NVL0F1OTIBOG
广东4区,白云山,85,54.88,126,成长:1.225 3技能,*****,https://xyq.cbg.163.com/equip?s=85&eid=202606220100113-85-AUXI9FOKRAX0R,202606220100113-85-AUXI9FOKRAX0R
北京2区,乾清宫,932,54.97,130,成长:1.262,电竞ザ法老,https://xyq.cbg.163.com/equip?s=932&eid=202606170800113-932-N5ZZC6DYLYPT,202606170800113-932-N5ZZC6DYLYPT
江苏2区,夫子庙,105,55.00,132,成长:1.237,******,https://xyq.cbg.163.com/equip?s=105&eid=202606220700113-105-YHHUPO18DFVH,202606220700113-105-YHHUPO18DFVH
河南1区,少林寺,413,55.66,138,成长:1.237,*****,https://xyq.cbg.163.com/equip?s=413&eid=202606220200113-413-YVPSDYYNC5V0,202606220200113-413-YVPSDYYNC5V0
追忆,再续前缘,149,55.89,132,成长:1.25,*****,https://xyq.cbg.163.com/equip?s=149&eid=202606220800113-149-REUQ9UXD9C6V,202606220800113-149-REUQ9UXD9C6V
山河社稷,大唐官府,926,55.98,0,成长:1.275,******,https://xyq.cbg.163.com/equip?s=926&eid=202606220600113-926-YGTSBI5ABJL7,202606220600113-926-YGTSBI5ABJL7
四川2区,德阳文庙,123,56.00,129,成长:1.262,******,https://xyq.cbg.163.com/equip?s=123&eid=202606211400113-123-ZDEULEMLR474,202606211400113-123-ZDEULEMLR474
四川1区,嘉陵江,263,56.00,0,成长:1.25 2技能,******,https://xyq.cbg.163.com/equip?s=263&eid=202606201900113-263-J6UY40XPY4II,202606201900113-263-J6UY40XPY4II
天下无双,超凡入圣,795,57.00,134,成长:1.262 1技能,******,https://xyq.cbg.163.com/equip?s=795&eid=202606200000113-795-G2KI6SV7XKM9,202606200000113-795-G2KI6SV7XKM9
江苏1区,秦淮风光,957,57.00,133,成长:1.25 1技能,冥ぷ遥,https://xyq.cbg.163.com/equip?s=957&eid=202606172300113-957-ZTXGJWAUVRMH,202606172300113-957-ZTXGJWAUVRMH
追忆,天命之路,962,57.99,129,成长:1.225,*******,https://xyq.cbg.163.com/equip?s=962&eid=202606190300113-962-RWWSX6F9K6TS,202606190300113-962-RWWSX6F9K6TS
山河社稷,东海龙宫,989,60.00,127,成长:1.262,*****,https://xyq.cbg.163.com/equip?s=989&eid=202606200800113-989-NLBBZKOIE9B1,202606200800113-989-NLBBZKOIE9B1
北京3区,紫禁之巅,969,63.88,137,成长:1.25 1技能,****,https://xyq.cbg.163.com/equip?s=969&eid=202606212300113-969-F3PTHISS4TA4,202606212300113-969-F3PTHISS4TA4
笑傲三界,五福临门,988,64.00,132,成长:1.225,******,https://xyq.cbg.163.com/equip?s=988&eid=202606191600113-988-WSCDCPRN7BRT,202606191600113-988-WSCDCPRN7BRT
北京2区,长城守望,996,64.00,0,成长:1.275,*****,https://xyq.cbg.163.com/equip?s=996&eid=202606201200113-996-RY4HUZJXG3WB,202606201200113-996-RY4HUZJXG3WB
良辰美景,福星高照,980,65.00,0,成长:1.225,***,https://xyq.cbg.163.com/equip?s=980&eid=202606182300113-980-EGBZBTZDKIU2,202606182300113-980-EGBZBTZDKIU2
笑傲三界,平安喜乐,1001,65.00,143,成长:1.237,开到荼蘼ぴ,https://xyq.cbg.163.com/equip?s=1001&eid=202606110500113-1001-EHZPKXTIIKL,202606110500113-1001-EHZPKXTIIKL
北京2区,华夏,1006,66.00,0,成长:1.262,******,https://xyq.cbg.163.com/equip?s=1006&eid=202606191700113-1006-MQE4VMQPTUE,202606191700113-1006-MQE4VMQPTUE
良辰美景,斗战胜佛,967,67.00,0,成长:1.25,*****,https://xyq.cbg.163.com/equip?s=967&eid=202606191700113-967-SMYWOYDK9Y7W,202606191700113-967-SMYWOYDK9Y7W
名扬三界,万里华夏,971,67.00,135,成长:1.25 1技能,******,https://xyq.cbg.163.com/equip?s=971&eid=202606182000113-971-JLBZYQJQUY8Q,202606182000113-971-JLBZYQJQUY8Q
河南1区,鱼跃龙门,1000,68.00,132,成长:1.275 1技能,******,https://xyq.cbg.163.com/equip?s=1000&eid=202606210000113-1000-RGPXN9D3AG9,202606210000113-1000-RGPXN9D3AG9
上海1区,新天地,975,69.00,139,成长:1.225 1技能,******,https://xyq.cbg.163.com/equip?s=975&eid=202606211900113-975-2LZBGXUY95BN,202606211900113-975-2LZBGXUY95BN
无与伦比,龙的传人,982,69.00,0,成长:1.25,****,https://xyq.cbg.163.com/equip?s=982&eid=202606191700113-982-GDUSOPLZZZQ7,202606191700113-982-GDUSOPLZZZQ7
浙江1区,西湖醋鱼,987,70.00,138,成长:1.275,*****,https://xyq.cbg.163.com/equip?s=987&eid=202606211300113-987-BE7MEMWFPGVB,202606211300113-987-BE7MEMWFPGVB
江苏1区,雪满关山,1002,70.00,0,成长:1.225 1技能,***,https://xyq.cbg.163.com/equip?s=1002&eid=202606211800113-1002-S9QTFYFEDC9,202606211800113-1002-S9QTFYFEDC9
江苏1区,齐天大圣,993,71.00,0,成长:1.225 1技能,*******,https://xyq.cbg.163.com/equip?s=993&eid=202606202200113-993-VYINB5O0DJZQ,202606202200113-993-VYINB5O0DJZQ
江苏1区,十里桃花,981,73.00,138,成长:1.237,******,https://xyq.cbg.163.com/equip?s=981&eid=202606212100113-981-QY9OQNF7PDW6,202606212100113-981-QY9OQNF7PDW6
上海1区,大闹天宫,1003,73.00,140,成长:1.25 1技能,******,https://xyq.cbg.163.com/equip?s=1003&eid=202606220000113-1003-1EXDH7NMGRQ,202606220000113-1003-1EXDH7NMGRQ
追忆,长安初遇,1011,74.00,0,成长:1.275 1技能,******,https://xyq.cbg.163.com/equip?s=1011&eid=202606211000113-1011-VNZ9I2BXTUV,202606211000113-1011-VNZ9I2BXTUV
名扬三界,天外飞仙,1005,78.00,140,成长:1.262 3技能,****,https://xyq.cbg.163.com/equip?s=1005&eid=202606192200113-1005-VBX281W4ZNB,202606192200113-1005-VBX281W4ZNB
良辰美景,一见钟情,1010,88.00,30,成长:1.262 1技能,*****,https://xyq.cbg.163.com/equip?s=1010&eid=202606220700113-1010-UATGZ3MSKSN,202606220700113-1010-UATGZ3MSKSN
山东1区,春风得意,1004,90.00,0,成长:1.225,*****,https://xyq.cbg.163.com/equip?s=1004&eid=202606191700113-1004-IZZYVRAQRYG,202606191700113-1004-IZZYVRAQRYG
笑傲三界,仗剑天涯,1008,90.00,133,成长:1.225,****,https://xyq.cbg.163.com/equip?s=1008&eid=202606212200113-1008-NZ1MFTJYLMS,202606212200113-1008-NZ1MFTJYLMS
浙江1区,南屏晚钟,1007,114.00,0,成长:1.237,*****,https://xyq.cbg.163.com/equip?s=1007&eid=202606212200113-1007-GA123NLBO56,202606212200113-1007-GA123NLBO56
为爱追寻,如梦似幻,1014,118.00,135,成长:1.275 1技能,****,https://xyq.cbg.163.com/equip?s=1014&eid=202606181100113-1014-9WAAEVDST1W,202606181100113-1014-9WAAEVDST1W
上海1区,久别重逢,1012,120.00,135,成长:1.275 3技能,*****,https://xyq.cbg.163.com/equip?s=1012&eid=202606220900113-1012-NUNFEJFNJKJ,202606220900113-1012-NUNFEJFNJKJ
为爱追寻,1314,1016,128.00,130,成长:1.275 2技能,****,https://xyq.cbg.163.com/equip?s=1016&eid=202606182200113-1016-8OZV2O6JYWE,202606182200113-1016-8OZV2O6JYWE
四川2区,老君阁,1009,133.00,129,成长:1.25,****,https://xyq.cbg.163.com/equip?s=1009&eid=202606201800113-1009-QCOIDQE3OJX,202606201800113-1009-QCOIDQE3OJX
北京1区,九五至尊,1019,150.00,0,成长:1.237,******,https://xyq.cbg.163.com/equip?s=1019&eid=202606220700113-1019-ASSBDA6XIV4,202606220700113-1019-ASSBDA6XIV4
天下无双,荣耀之路,1013,164.00,136,成长:1.237 1技能,***,https://xyq.cbg.163.com/equip?s=1013&eid=202606220200113-1013-DI8HSVRYDIW,202606220200113-1013-DI8HSVRYDIW
名扬三界,高级神佑,1026,200.00,139,成长:1.262 1技能,*****,https://xyq.cbg.163.com/equip?s=1026&eid=202606212200113-1026-IF30Z5XD0IL,202606212200113-1026-IF30Z5XD0IL
星辰大海,风雨同舟,1018,299.00,0,成长:1.237,******,https://xyq.cbg.163.com/equip?s=1018&eid=202606211800113-1018-XMIOOTGIDAB,202606211800113-1018-XMIOOTGIDAB
良辰美景,天涯海角,1022,299.00,0,成长:1.225,*******,https://xyq.cbg.163.com/equip?s=1022&eid=202606201800113-1022-1V8PEYP1OKP,202606201800113-1022-1V8PEYP1OKP
名扬三界,独步天下,1015,300.00,23,成长:1.235 4技能,****,https://xyq.cbg.163.com/equip?s=1015&eid=202606181200113-1015-3JB4X1PNSZT,202606181200113-1015-3JB4X1PNSZT
无与伦比,MHXY,1024,300.00,136,成长:1.237,***,https://xyq.cbg.163.com/equip?s=1024&eid=202606220800113-1024-V95JAMS7VLR,202606220800113-1024-V95JAMS7VLR
天下无双,青梅竹马,1020,388.00,0,成长:1.237,******,https://xyq.cbg.163.com/equip?s=1020&eid=202606211000113-1020-6SDZA0Z5WLS,202606211000113-1020-6SDZA0Z5WLS
名扬三界,一代天骄,1021,450.00,0,成长:1.262 1技能,*****,https://xyq.cbg.163.com/equip?s=1021&eid=202606211700113-1021-WSRBFKETCY0,202606211700113-1021-WSRBFKETCY0
广东1区,大展宏图,1025,500.00,4,成长:1.262 3技能,*****,https://xyq.cbg.163.com/equip?s=1025&eid=202606211800113-1025-FFSGYLZU4PI,202606211800113-1025-FFSGYLZU4PI
良辰美景,万家灯火,1027,650.00,30,成长:1.225 1技能,*****,https://xyq.cbg.163.com/equip?s=1027&eid=202606221000113-1027-2QLDCB2BSKY,202606221000113-1027-2QLDCB2BSKY
为爱追寻,三生三世,1023,688.00,124,成长:1.275 2技能,1888号炼妖店,https://xyq.cbg.163.com/equip?s=1023&eid=202606092100113-1023-KFNL10AMVS5,202606092100113-1023-KFNL10AMVS5
星辰大海,马上有钱,1028,750.00,0,成长:1.25,*******,https://xyq.cbg.163.com/equip?s=1028&eid=202606192100113-1028-V7TR8W77L6M,202606192100113-1028-V7TR8W77L6M
江苏1区,好运连连,1029,2088.00,0,成长:1.275 1技能,******,https://xyq.cbg.163.com/equip?s=1029&eid=202606192300113-1029-EEAUOSGMSJS,202606192300113-1029-EEAUOSGMSJS
