大区,服务器,serverid,最低价(元),等级,简介,卖家,商品链接,eid
北京1区,国子监,3,300.00,180,成长:1.256 5技能 已认证,情怀ジ贰叁两,https://xyq.cbg.163.com/equip?s=3&eid=202605301000113-3-TOUPKEGINZX1EH,202605301000113-3-TOUPKEGINZX1EH
广西2区,黄姚古镇,6,300.00,49,成长:1.269 4技能,梦悠幽！,https://xyq.cbg.163.com/equip?s=6&eid=202303121200113-297-BGWE70IKJYUN,202303121200113-297-BGWE70IKJYUN
江苏3区,花果山,26,300.00,27,成长:1.236 5技能,******,https://xyq.cbg.163.com/equip?s=26&eid=202606212000113-26-IN6RUOUEMM9VG,202606212000113-26-IN6RUOUEMM9VG
深圳2区,世界之窗,39,300.00,21,成长:1.233 4技能,Dearじ灵儿,https://xyq.cbg.163.com/equip?s=39&eid=202604282100113-39-IKYCILNXBHACD,202604282100113-39-IKYCILNXBHACD
天津区,精武门,55,300.00,30,成长:1.257 3技能,粤P丶阿兴仔,https://xyq.cbg.163.com/equip?s=55&eid=202604120600113-55-8UE8TYNSHOAI1,202604120600113-55-8UE8TYNSHOAI1
广东1区,湖光岩,72,300.00,180,成长:1.226 4技能,服战心蛀虫命,https://xyq.cbg.163.com/equip?s=72&eid=202606052200113-72-C2HYNVNF8CNM7,202606052200113-72-C2HYNVNF8CNM7
广东2区,进贤门,77,300.00,180,成长:1.188 7技能 已认证,雪祈晚风而落,https://xyq.cbg.163.com/equip?s=77&eid=202606130200113-77-FGMICHMQAX8L7,202606130200113-77-FGMICHMQAX8L7
广东2区,万绿湖,78,300.00,22,成长:1.183 5技能,娇妻卖艺杀环,https://xyq.cbg.163.com/equip?s=78&eid=202603192300113-78-BVH52RYUICNEF,202603192300113-78-BVH52RYUICNEF
广东4区,流溪河,84,300.00,180,成长:1.276 4技能,醉梦ジ红尘°,https://xyq.cbg.163.com/equip?s=84&eid=202605171900113-84-D0PXQCG3XM8Z9,202605171900113-84-D0PXQCG3XM8Z9
广东4区,白云山,85,300.00,180,成长:1.198 6技能 已认证,ぐ就快忘记你,https://xyq.cbg.163.com/equip?s=85&eid=202605071300113-85-ISW15UQXGM58R,202605071300113-85-ISW15UQXGM58R
湖南区,洞庭湖,96,300.00,22,成长:1.209 5技能,合江！真龙柚,https://xyq.cbg.163.com/equip?s=96&eid=202606110900113-96-WX7DVYKWTWJDE,202606110900113-96-WX7DVYKWTWJDE
江苏1区,文昌阁,101,300.00,23,成长:1.133 4技能,鸢舞メ紫鸢花,https://xyq.cbg.163.com/equip?s=101&eid=202606102200113-101-HNSRSIDKXLJD,202606102200113-101-HNSRSIDKXLJD
江苏1区,雨花台,104,300.00,0,成长:1.181 4技能,暴走的羊丶,https://xyq.cbg.163.com/equip?s=104&eid=202606161100113-104-VLDG99LCPNK9,202606161100113-104-VLDG99LCPNK9
云南区,彩云之南,127,300.00,0,成长:1.225 4技能,唐艺昕ぃ,https://xyq.cbg.163.com/equip?s=127&eid=202604262200113-127-UXBQPU5JUF5F,202604262200113-127-UXBQPU5JUF5F
浙江1区,西栅老街,132,300.00,25,成长:1.248 4技能,洛洛阿,https://xyq.cbg.163.com/equip?s=132&eid=202606082200113-132-5FVYMHAGPCQA,202606082200113-132-5FVYMHAGPCQA
浙江2区,苏堤春晓,137,300.00,55,成长:1.255 4技能,******,https://xyq.cbg.163.com/equip?s=137&eid=202606190800113-137-XWH1CZFJO0BC,202606190800113-137-XWH1CZFJO0BC
浙江3区,钱塘江,138,300.00,21,成长:1.212 5技能,◆芯′忒凉,https://xyq.cbg.163.com/equip?s=138&eid=202606121600113-138-CL7DMKJY29TH,202606121600113-138-CL7DMKJY29TH
浙江3区,普陀山,139,300.00,180,成长:1.261 6技能 已认证,兵°生死相许,https://xyq.cbg.163.com/equip?s=139&eid=202601252000113-139-QXHVOY0URTTA,202601252000113-139-QXHVOY0URTTA
重庆区,解放碑,146,300.00,21,成长:1.244 3技能,Into丶Rayon,https://xyq.cbg.163.com/equip?s=146&eid=202605192000113-146-JD4UAZOO7RZZ,202605192000113-146-JD4UAZOO7RZZ
追忆,梦回望月,150,300.00,30,成长:1.262 4技能,某日某月某年,https://xyq.cbg.163.com/equip?s=150&eid=202606012100113-150-RTHTQG180JOQ,202606012100113-150-RTHTQG180JOQ
北京1区,太和殿,155,300.00,30,成长:1.25 5技能 已认证,＄太子萝卜,https://xyq.cbg.163.com/equip?s=155&eid=202606140100113-155-U6GSNRSCJYST,202606140100113-155-U6GSNRSCJYST
上海1区,晚芳亭,163,300.00,180,成长:1.274 7技能 已认证,＇夜．若少︷,https://xyq.cbg.163.com/equip?s=163&eid=202601110000113-163-C7SMX2YNCMZ0,202601110000113-163-C7SMX2YNCMZ0
华南区,逍遥城,173,300.00,30,成长:1.279 4技能,野纱寻．,https://xyq.cbg.163.com/equip?s=173&eid=202512182200113-173-FZHZ3IMYHXIG,202512182200113-173-FZHZ3IMYHXIG
黑龙江区,雪域天龙,221,300.00,180,成长:1.237 5技能 已认证,夕阳若雪,https://xyq.cbg.163.com/equip?s=221&eid=202605170700113-221-ZR94FOAQCMIB,202605170700113-221-ZR94FOAQCMIB
内蒙区,雄鹰岭,229,300.00,24,成长:1.175 5技能,飘渺梦接军火,https://xyq.cbg.163.com/equip?s=229&eid=202601252300113-229-JQCQQX0ZN6J3,202601252300113-229-JQCQQX0ZN6J3
福建2区,鼓浪屿,234,300.00,22,成长:1.245 4技能,一川烟草青ぅ,https://xyq.cbg.163.com/equip?s=234&eid=202605211000113-234-SYANCYUXOITV,202605211000113-234-SYANCYUXOITV
安徽1区,慈光阁,266,300.00,0,成长:1.239 5技能,′江少．,https://xyq.cbg.163.com/equip?s=266&eid=202606081400113-266-YSPCNQXNIFUS,202606081400113-266-YSPCNQXNIFUS
贵州区,红枫湖,285,300.00,151,成长:1.225 3技能,菊菊卖符石2,https://xyq.cbg.163.com/equip?s=285&eid=202512282000113-285-WJPOXOSM4ID2,202512282000113-285-WJPOXOSM4ID2
福建1区,朱紫坊,305,300.00,0,成长:1.224 3技能,Ｊustˉ画晚,https://xyq.cbg.163.com/equip?s=305&eid=202509192200113-305-IYHT2L9ZKGJD,202509192200113-305-IYHT2L9ZKGJD
福建2区,齐云楼,326,300.00,180,成长:1.263 4技能,莹莹小胖友,https://xyq.cbg.163.com/equip?s=326&eid=202605201500113-326-CR18JIDWNTVZ,202605201500113-326-CR18JIDWNTVZ
河北2区,燕塞湖,334,300.00,180,成长:1.272 5技能 已认证,快乐999,https://xyq.cbg.163.com/equip?s=334&eid=202605272100113-334-AKOPP3WYAANW,202605272100113-334-AKOPP3WYAANW
深圳2区,小梅沙,344,300.00,180,成长:1.287 6技能 已认证,ㄨ石é波,https://xyq.cbg.163.com/equip?s=344&eid=202401051900113-344-SYX3KXUIWCIJ,202401051900113-344-SYX3KXUIWCIJ
浙江2区,灵隐寺,378,300.00,30,成长:1.275 4技能,****,https://xyq.cbg.163.com/equip?s=378&eid=202606192000113-378-G30LPWDN8FTI,202606192000113-378-G30LPWDN8FTI
山东5区,曲阜孔庙,407,300.00,180,成长:1.273 6技能 已认证,Ｔ昨夜爬你床,https://xyq.cbg.163.com/equip?s=407&eid=202604221300113-407-7H0GE8PKT3PX,202604221300113-407-7H0GE8PKT3PX
深圳2区,梧桐山,412,300.00,21,成长:1.245 3技能,涂山雪＊晨,https://xyq.cbg.163.com/equip?s=412&eid=202603300600113-412-ERKIBXK5RLBN,202603300600113-412-ERKIBXK5RLBN
湖北1区,昭君台,420,300.00,22,成长:1.208 4技能,秀メ生无可恋,https://xyq.cbg.163.com/equip?s=420&eid=202512040000113-420-UKDIUZLPF1AQ,202512040000113-420-UKDIUZLPF1AQ
山西区,雁门关,421,300.00,180,成长:1.237 5技能 已认证,我的持国呢,https://xyq.cbg.163.com/equip?s=421&eid=202409131400113-421-UKY65HXII0XL,202409131400113-421-UKY65HXII0XL
北京1区,2008,459,300.00,25,成长:1.217 5技能,【凡·人】,https://xyq.cbg.163.com/equip?s=459&eid=202606140900113-459-K2XXOJ86ZH16,202606140900113-459-K2XXOJ86ZH16
江苏3区,镇淮楼,462,300.00,21,成长:1.214 4技能,名字54328506,https://xyq.cbg.163.com/equip?s=462&eid=202512191700113-462-0AJUMGWM9GBN,202512191700113-462-0AJUMGWM9GBN
重庆区,茶山竹海,482,300.00,30,成长:1.25 4技能,idol小米,https://xyq.cbg.163.com/equip?s=482&eid=202605231100113-482-OYZV7VU418KL,202605231100113-482-OYZV7VU418KL
无与伦比,兰亭序,554,300.00,100,成长:1.238 3技能,花里胡哨、黑,https://xyq.cbg.163.com/equip?s=554&eid=202605201700113-554-THPTPYKDUDGF,202605201700113-554-THPTPYKDUDGF
华南区,钓鱼岛,625,300.00,180,成长:1.218 5技能 已认证,此生予你,https://xyq.cbg.163.com/equip?s=625&eid=202605280000113-625-389NU2WN561I,202605280000113-625-389NU2WN561I
山东1区,青岛栈桥,669,300.00,27,成长:1.225 3技能,发财小牛牛,https://xyq.cbg.163.com/equip?s=669&eid=202606071900113-669-ETDVO0ILJJDY,202606071900113-669-ETDVO0ILJJDY
广东3区,广州湾,677,300.00,31,成长:1.258 5技能,轻风四打爆炸,https://xyq.cbg.163.com/equip?s=677&eid=202205292000113-661-MFVHXU1WCOT1,202205292000113-661-MFVHXU1WCOT1
北京2区,万里长城,689,300.00,24,成长:1.19 3技能,月弄痕．わ,https://xyq.cbg.163.com/equip?s=689&eid=202606170600113-689-QR9UIOBDMEJJ,202606170600113-689-QR9UIOBDMEJJ
北京1区,喜大普奔,699,300.00,24,成长:1.244 3技能,°静心孤芳〃,https://xyq.cbg.163.com/equip?s=699&eid=202408231400113-699-S5WXEOGXI7JJ,202408231400113-699-S5WXEOGXI7JJ
浙江1区,文澜阁,712,300.00,22,成长:1.206 5技能,铁蛋р,https://xyq.cbg.163.com/equip?s=712&eid=202606121100113-712-ODE64TYWQUIO,202606121100113-712-ODE64TYWQUIO
浙江4区,烟雨江南,750,300.00,21,成长:1.282 3技能,******,https://xyq.cbg.163.com/equip?s=750&eid=202606211000113-750-7NHZBACX4G2P,202606211000113-750-7NHZBACX4G2P
浙江2区,西湖龙井,758,300.00,180,成长:1.248 4技能,｀ノ宁宁康康,https://xyq.cbg.163.com/equip?s=758&eid=202605151600113-758-QIH9N8X0D84V,202605151600113-758-QIH9N8X0D84V
北京1区,五道口,786,300.00,180,成长:1.212 3技能,执剑破乾坤,https://xyq.cbg.163.com/equip?s=786&eid=202605310700113-786-466IP67DXCHP,202605310700113-786-466IP67DXCHP
天下无双,诗情画意,791,300.00,30,成长:1.218 5技能,星辰映海深,https://xyq.cbg.163.com/equip?s=791&eid=202606180100113-791-RKI4EVE8V6UQ,202606180100113-791-RKI4EVE8V6UQ
笑傲三界,花好月圆,807,300.00,21,成长:1.176 5技能,宿州灬地锅哥,https://xyq.cbg.163.com/equip?s=807&eid=202604042200113-807-MZ9PBQSFCL4L,202604042200113-807-MZ9PBQSFCL4L
上海1区,灿若星河,841,300.00,170,成长:1.25 3技能,无奈与心酸,https://xyq.cbg.163.com/equip?s=841&eid=202603180900113-841-SJUDUYQWSHRN,202603180900113-841-SJUDUYQWSHRN
上海2区,四海升平,855,300.00,55,成长:1.265 6技能 已认证,锦衣卫×青龙,https://xyq.cbg.163.com/equip?s=855&eid=202502210800113-894-TMWOKFD3RPXW,202502210800113-894-TMWOKFD3RPXW
名扬三界,文韬武略,868,300.00,180,成长:1.228 6技能 已认证,沙河代表队～,https://xyq.cbg.163.com/equip?s=868&eid=202606081100113-868-VFPL7YUDRSTM,202606081100113-868-VFPL7YUDRSTM
名扬三界,洋光闪耀,878,300.00,0,成长:1.275 4技能,爱奇艺°,https://xyq.cbg.163.com/equip?s=878&eid=202511111700113-878-LYHKRTCM9LBQ,202511111700113-878-LYHKRTCM9LBQ
名扬三界,国泰民安,882,300.00,180,成长:1.225 5技能 已认证,ㄞ仇τ琳,https://xyq.cbg.163.com/equip?s=882&eid=202605090000113-882-WTSIF5PUSYYN,202605090000113-882-WTSIF5PUSYYN
山河社稷,长安城,892,300.00,24,成长:1.188 5技能,红牛◆小天,https://xyq.cbg.163.com/equip?s=892&eid=202512230500113-892-GJ3ZJK9IBLIF,202512230500113-892-GJ3ZJK9IBLIF
山东1区,五岳独尊,934,300.00,23,成长:1.212 3技能,铁铁睡不着,https://xyq.cbg.163.com/equip?s=934&eid=202604131900113-934-UXPMK4ERXJK6,202604131900113-934-UXPMK4ERXJK6
江苏1区,苏州园林,936,300.00,25,成长:1.168 4技能,日後必成大器,https://xyq.cbg.163.com/equip?s=936&eid=202412231600113-936-8UQEKKK8ERGJ,202412231600113-936-8UQEKKK8ERGJ
良辰美景,水云归,941,300.00,24,成长:1.176 4技能,小惜玉⒉,https://xyq.cbg.163.com/equip?s=941&eid=202506040400113-941-KICZFBA6CMQL,202506040400113-941-KICZFBA6CMQL
无与伦比,梦幻西游,976,300.00,24,成长:1.2 5技能,龙ю紫萱ㄨ,https://xyq.cbg.163.com/equip?s=976&eid=202506110900113-976-5GQHM9TCGVTF,202506110900113-976-5GQHM9TCGVTF
名扬三界,独步天下,1015,300.00,23,成长:1.235 4技能,****,https://xyq.cbg.163.com/equip?s=1015&eid=202606181200113-1015-3JB4X1PNSZT,202606181200113-1015-3JB4X1PNSZT
无与伦比,MHXY,1024,300.00,136,成长:1.237,***,https://xyq.cbg.163.com/equip?s=1024&eid=202606220800113-1024-V95JAMS7VLR,202606220800113-1024-V95JAMS7VLR
深圳1区,大观园,116,300.20,180,成长:1.251 7技能 已认证,蜗轮增鸭,https://xyq.cbg.163.com/equip?s=116&eid=202604051700113-116-LA8K1TCMO7AN,202604051700113-116-LA8K1TCMO7AN
四川2区,德阳文庙,123,300.60,27,成长:1.263 4技能,拼夕夕c,https://xyq.cbg.163.com/equip?s=123&eid=202604071500113-123-T9TI2U344UMT,202604071500113-123-T9TI2U344UMT
河北2区,燕赵风云,215,300.60,0,成长:1.234 4技能,添添．,https://xyq.cbg.163.com/equip?s=215&eid=202605182200113-215-F1TTE3WEWOQI,202605182200113-215-F1TTE3WEWOQI
北京2区,龙争虎斗,816,300.60,180,成长:1.204 5技能 已认证,燕离昧,https://xyq.cbg.163.com/equip?s=816&eid=202605112100113-816-HOESL3AOK6QO,202605112100113-816-HOESL3AOK6QO
四川2区,文殊院,167,301.00,22,成长:1.231 4技能,四只裕崽,https://xyq.cbg.163.com/equip?s=167&eid=202604282300113-167-KUU6VYGJM2II,202604282300113-167-KUU6VYGJM2II
无与伦比,千里之外,579,302.10,180,成长:1.282 5技能 已认证,☆辞君★,https://xyq.cbg.163.com/equip?s=579&eid=202605140900113-579-WNCARF7FETMH,202605140900113-579-WNCARF7FETMH
追忆,2020,901,303.00,25,成长:1.218 3技能,JuSt‘画晚’,https://xyq.cbg.163.com/equip?s=901&eid=202605022000113-901-JM2BFKI7E2KG,202605022000113-901-JM2BFKI7E2KG
广东4区,状元坊,82,304.00,23,成长:1.16 5技能,欣儿。。,https://xyq.cbg.163.com/equip?s=82&eid=202605011900113-82-KUYENSTAABIWO,202605011900113-82-KUYENSTAABIWO
广西1区,青秀山,249,304.00,22,成长:1.238 3技能,夕阳西下⑩,https://xyq.cbg.163.com/equip?s=249&eid=202309022200113-249-PK06CQOWWDIH,202309022200113-249-PK06CQOWWDIH
北京2区,东方巨龙,799,304.00,0,成长:1.209 6技能 已认证,渠Λ婉玉ǚ,https://xyq.cbg.163.com/equip?s=799&eid=202306102300113-825-HDSCILQDWED4,202306102300113-825-HDSCILQDWED4
无与伦比,龙马精神,705,304.50,21,成长:1.198 4技能,笑为红颜ベ虎,https://xyq.cbg.163.com/equip?s=705&eid=202512182200113-705-I3FIEWFIJW11,202512182200113-705-I3FIEWFIJW11
江西区,庐山胜境,270,305.00,30,成长:1.176 4技能,名字13523457,https://xyq.cbg.163.com/equip?s=270&eid=202508292000113-270-I8EIYGMJCDRD,202508292000113-270-I8EIYGMJCDRD
无与伦比,将军,584,305.00,21,成长:1.215 5技能,将军散人跑环,https://xyq.cbg.163.com/equip?s=584&eid=202606142200113-584-AINQ0PO7PTEM,202606142200113-584-AINQ0PO7PTEM
广西1区,明秀园,12,305.10,22,成长:1.213 4技能,温″煦沐风ι,https://xyq.cbg.163.com/equip?s=12&eid=202604200800113-12-FG2OQOMMQ2Y95,202604200800113-12-FG2OQOMMQ2Y95
北京1区,紫禁城,9,305.90,25,成长:1.159 5技能,甜″,https://xyq.cbg.163.com/equip?s=9&eid=202605300100113-9-0JWB0TU1Q2FT7G,202605300100113-9-0JWB0TU1Q2FT7G
河南3区,南阳府,414,308.00,22,成长:1.28 5技能,″矜持乜．,https://xyq.cbg.163.com/equip?s=414&eid=202606172300113-414-QDTPDQJVF2SC,202606172300113-414-QDTPDQJVF2SC
山河社稷,大唐官府,926,308.00,26,成长:1.147 5技能,月下独思心ゲ,https://xyq.cbg.163.com/equip?s=926&eid=202605231700113-926-XYJUTQ0GM4AO,202605231700113-926-XYJUTQ0GM4AO
广东2区,如意岛,79,308.90,22,成长:1.238 4技能,е潘▲为,https://xyq.cbg.163.com/equip?s=79&eid=202602061300113-79-TH3EHUD5OBO6E,202602061300113-79-TH3EHUD5OBO6E
